pkg_name,listing_label,ai_discriminator_label
com.amech.hunting.jungle.animals,0,0
com.CallRecord,0,0
com.adobe.spark.post,1,1
com.aspiration.postermaker.editor,0,0
com.businessmarketing,0,0
com.delgeo.desygner,1,0
com.skysoft.removalfree,0,1
rs.ignite.paintation,0,0
toon.photo.cartoon.editor,0,0
com.johnboysoftware.jbv1,0,0
com.navmii.android.dashcam,0,1
com.seeworld.gljdw,0,0
info.hasanaga.azerus,0,0
net.fileden.dictionary,0,0
ua.mybible,0,0
com.accela.pma,0,0
com.airgms.mobile,0,0
com.autoroutesante.iCyclop,0,0
com.bpmobile.iscanner.free,1,1
com.companyname.Unimovil,0,0
com.deltatechnepal.delta_sales_app,0,0
com.digistore24.reports,0,0
com.fareclock.tc,0,1
com.flick2know.gt,0,0
com.getjobber.jobber,1,0
com.gigsmart.requester,0,1
com.hirist.jobseeker,0,0
com.intellifluence.intellifluence,0,0
com.ionicframework.snapaddybusinesscards938320,0,0
com.itgurussoftware.android.peoplehr,0,0
com.mailchimp.mailchimp,1,0
com.markate.markatepro,0,0
com.method.methodcrm,0,0
com.mhelpdesk.endeavor,0,0
com.mobisystems.editor.office_with_reg,0,0
com.pegasustranstech.transflonowplus,0,0
com.pennyapp.pennyy,0,0
com.perfectcorp.ymkbusiness,0,1
com.plangrid.android,0,0
com.procurify.client,0,0
com.spatialnetworks.fulcrum,0,0
com.tm.mms.TeleMessageClientApp,0,0
com.trane.bassuite.android,0,0
com.vaion.vcore,0,0
com.viasql.classic,0,0
com.wantedly.android.namecard_scanner,0,0
cz.dactylgroup.smartsupp.android,0,0
io.doubletick.mobile.crm,0,0
io.shepherdworkshop.app,0,0
nl.ibridge.planning,0,0
org.geminishalesolutions.gemini,0,0
ru.dikidi.beauty.business,0,0
th.co.gofive.empeo,0,1
us.nextforce.app,0,0
com.astarsoftware.spades,0,0
com.casualino.vipbelote.single,0,0
com.eryodsoft.android.cards.damedepique,0,0
com.eryodsoft.android.cards.tarot.lite,0,0
com.jpapale.cyberjass,0,0
com.tonielro.mygdxgame,0,0
net.becvert.tarotfrancais,0,0
com.iaan.pencilcamera,0,0
com.gemtechnologies.gem4me,1,0
com.handcent.app.nextsms,1,1
com.jesusrojo.vttvfull,0,0
com.messages.chat,0,1
ai.boyfriend.virtual.dating.lover.iboy,1,0
ai.praktika.android,1,0
ai.rocky.app,1,0
app.awarefy.awarefyapp,1,0
co.vulcanlabs.pictranslator,1,0
com.adobe.reader,1,1
com.baek.Gatalk_market,1,0
com.coursehero.coursehero,1,0
com.ejoy.epic,1,0
com.innovate.BlackPeopleMingle,1,0
com.innovate.ChinaSocial,1,1
com.innovate.MalaysianSocial,1,1
com.innovate.SaudiArabiaCupid,1,0
com.innovate.SingaporeSocial,1,1
com.innovate.ThaiSocial,1,0
com.kindermate.kai,1,0
com.mailtime.android,1,0
com.microsoft.bing,1,1
com.mingle.AussieSocial,1,1
com.mingle.DutchCupid,1,0
com.mingle.EuropianMingle,1,0
com.mingle.PolishCupid,1,0
com.mingle.SwissCupid,1,0
com.mingle.VenezuelaCupid,1,0
com.redraw.keyboard,1,1
com.smartremote.homepodsiri,1,0
com.surrealwork.mementomori,1,0
com.tag_hive.saathi.saathi,1,0
com.testa.databot,1,0
com.tuya.smartlife,1,0
com.wellocution.androidapp,1,0
com.xvideostudio.videodownload,1,1
help.simplicity.simplicity,1,0
in.softecks.artificialintelligence,1,1
insights.investments.app,1,0
messenger.x.chat.bot.messenger.release,1,0
quick.read.app,1,0
com.cenkle.chat.elele,0,0
com.lt.ieltspracticetest,0,0
com.nosapps.android.get2clouds,0,0
com.psychictxt.psychictxtapplication,0,0
com.strangers.chat_developers.strangerschatapp,0,0
com.truecaller,0,0
de.inforapid.knowledgebasebuilder.free.android,0,0
